property_id,city,neighborhood,property_type,bedrooms,bathrooms,living_area_sqft,lot_size_sqft,year_built,renovation_year,garage,basement,sale_year,sale_price
47,Montréal,Rosemont,Single Family,3,2,1713,7117,1986,,Yes,Yes,2022,595000
48,Saint-Bruno-de-Montarville,Centre-Ville,Condo,2,2,646,,1990,,No,No,2025,495000
49,Mirabel,Sainte-Monique,Bungalow,3,1,865,3138,1997,,Yes,Yes,2024,403000
50,Victoriaville,Centre-Ville,Triplex,7,4,2302,3161,1975,2007,Yes,No,2025,771000
51,Brossard,Solar Uniquartier,Condo,2,1,918,,1993,,No,No,2023,499000
52,Vaudreuil-Dorion,Centre-Ville,Single Family,3,3,2123,5227,2003,,Yes,Yes,2024,574000
53,Montréal,Villeray,Condo,2,1,567,,1908,2015,No,No,2024,382000
54,Brossard,Secteur A,Duplex,4,4,1576,6641,2023,,Yes,Yes,2024,706000
55,Longueuil,Vieux-Longueuil,Single Family,6,3,1313,10233,1998,,No,Yes,2025,853000
56,Montréal,LaSalle,Condo,2,1,664,,1928,2023,Yes,No,2023,459000
57,Sherbrooke,Centre-Ville,Single Family,3,2,1973,6900,1959,,Yes,Yes,2022,419000
58,Brossard,Secteur B,Single Family,5,3,1648,4026,1962,,Yes,Yes,2025,580000
59,Rouyn-Noranda,Rouyn Centre,Single Family,4,2,1924,5534,1959,,Yes,Yes,2022,386000
60,Pointe-Claire,West Island,Single Family,4,3,1398,3611,1963,,Yes,Yes,2024,730000
61,Vaudreuil-Dorion,Centre-Ville,Triplex,5,5,1724,4741,1997,2024,Yes,No,2025,707000
62,Saint-Jean-sur-Richelieu,Iberville,Single Family,4,3,1116,11119,1990,2023,No,Yes,2025,422000
63,Québec,Sillery,Single Family,4,4,1142,7180,1907,,Yes,Yes,2024,418000
64,Montréal,Plateau-Mont-Royal,Bungalow,3,1,958,5020,1908,,Yes,Yes,2021,348000
65,Repentigny,Le Gardeur,Condo,2,1,645,,1963,,No,No,2025,460000
66,Laval,Fabreville,Triplex,6,4,2669,3109,1982,2009,Yes,Yes,2023,952000
67,Terrebonne,Terrebonne Ouest,Townhouse,3,2,1056,2595,2004,,Yes,Yes,2023,422000
68,Montréal,Villeray,Duplex,3,3,1802,3958,1996,,No,Yes,2021,574000
69,Rimouski,Rimouski Centre,Single Family,4,3,1469,7966,1999,2021,Yes,No,2022,195000
70,Laval,Duvernay,Condo,2,2,748,,1976,2008,No,No,2021,348000
71,Québec,Val-Bélair,Single Family,2,3,1540,9726,2021,,Yes,Yes,2024,476000
72,Longueuil,Le Vieux-Longueuil,Duplex,4,3,1725,4941,1957,2019,Yes,No,2023,703000
73,Victoriaville,Centre-Ville,Townhouse,4,2,1136,4010,1975,,No,Yes,2023,381000
74,Granby,Centre-Ville,Single Family,4,3,1942,9522,2022,,Yes,Yes,2025,800000
75,Montréal,NDG,Condo,2,2,725,,1953,,No,No,2021,296000
76,Sherbrooke,Fleurimont,Townhouse,3,3,953,2221,1984,,Yes,Yes,2023,235000
77,Saguenay,La Baie,Bungalow,3,2,1141,6590,1985,2008,Yes,No,2025,369000
78,Gatineau,Hull,Single Family,5,2,1573,4054,1988,,No,No,2025,564000
79,Dollard-des-Ormeaux,West Island,Duplex,3,3,1620,5065,2015,,No,No,2024,621000
80,Montréal,Ahuntsic,Townhouse,2,3,871,2919,2021,,Yes,Yes,2024,419000
81,Laval,Chomedey,Duplex,4,3,1632,4677,2007,2021,Yes,Yes,2022,631000
82,Gatineau,Hull,Single Family,3,2,1753,8418,1971,,Yes,Yes,2023,623000
83,Candiac,Candiac Centre,Condo,2,1,938,,2020,,Yes,No,2024,452000
84,Montréal,LaSalle,Single Family,4,3,988,4194,1949,,No,Yes,2025,466000
85,Trois-Rivières,Cap-de-la-Madeleine,Townhouse,3,3,1141,2360,1996,,Yes,No,2024,262000
86,Saint-Jean-sur-Richelieu,Iberville,Condo,2,2,693,,2021,,No,No,2025,326000
87,Dollard-des-Ormeaux,West Island,Condo,3,1,771,,1976,2016,No,No,2024,532000
88,Brossard,Secteur C,Duplex,5,3,1655,3678,1990,2010,Yes,No,2025,623000
89,Terrebonne,La Plaine,Single Family,2,3,1254,7162,1974,2010,Yes,Yes,2025,670000
90,Laval,Pont-Viau,Condo,2,2,603,,2000,,No,No,2022,356000
91,Montréal,Mercier,Single Family,5,3,1462,8322,1954,2020,No,Yes,2022,614000
92,Trois-Rivières,Trois-Rivières-Ouest,Single Family,5,3,1526,9835,1967,,Yes,Yes,2025,377000
93,Saint-Jérôme,Bellefeuille,Single Family,5,3,1501,4236,1978,2009,No,Yes,2023,401000
94,Saint-Bruno-de-Montarville,Centre-Ville,Single Family,3,3,1851,4364,2017,,No,Yes,2023,525000
95,Longueuil,Vieux-Longueuil,Condo,2,2,843,,2003,,No,No,2023,386000
96,Québec,Sillery,Townhouse,3,1,1097,3591,1969,,Yes,Yes,2025,281000
97,Montréal,Villeray,Single Family,5,1,1505,8405,1978,2009,Yes,No,2021,490000
98,Brossard,Solar Uniquartier,Condo,2,1,583,,2013,2024,Yes,No,2024,372000
99,Montréal,LaSalle,Duplex,6,2,1553,3298,1991,,No,Yes,2023,792000
100,Montréal,LaSalle,Condo,2,2,892,,1958,2019,No,No,2021,332000
101,Rimouski,Rimouski Centre,Condo,2,1,768,,1962,,Yes,No,2023,192000
102,Granby,Centre-Ville,Duplex,5,2,1606,4428,1990,,Yes,No,2025,499000
103,Repentigny,Repentigny Centre,Single Family,3,1,1218,5600,1980,,Yes,No,2021,373000
104,Boucherville,Boucherville Centre,Triplex,6,3,2603,4126,1977,,Yes,No,2022,723000
105,Victoriaville,Centre-Ville,Single Family,4,2,1638,10247,1972,,Yes,Yes,2024,508000
106,Brossard,Secteur B,Single Family,5,2,1558,9091,1978,,Yes,Yes,2024,712000
107,Pointe-Claire,West Island,Condo,3,2,890,,1983,,Yes,No,2025,552000
108,Québec,Sillery,Single Family,3,1,1708,7051,1933,,Yes,No,2023,389000
109,Brossard,Secteur B,Single Family,4,3,1099,8889,2005,2015,Yes,Yes,2022,461000
110,Mirabel,Saint-Canut,Townhouse,3,2,847,2174,2011,,Yes,Yes,2023,303000
111,Québec,Val-Bélair,Single Family,5,2,1554,4824,1928,,Yes,Yes,2025,387000
112,Gatineau,Aylmer,Single Family,3,1,1066,5778,1998,2016,Yes,Yes,2023,361000
113,Montréal,Ville-Marie,Single Family,4,2,1008,9336,1982,,No,Yes,2023,485000
114,Gatineau,Gatineau Centre,Single Family,3,2,1998,10005,1979,,Yes,Yes,2025,801000
115,Montréal,LaSalle,Townhouse,3,2,811,2629,1993,,No,No,2024,300000
116,Québec,Sillery,Single Family,4,2,2012,5270,1978,2019,Yes,Yes,2022,450000
117,Sherbrooke,Lennoxville,Single Family,6,2,1414,11840,2003,,Yes,No,2023,461000
118,Montréal,LaSalle,Condo,2,2,789,,1984,2006,No,No,2025,482000
119,Terrebonne,Terrebonne Ouest,Single Family,3,3,1816,8262,2011,,Yes,Yes,2021,576000
120,Sherbrooke,Centre-Ville,Single Family,5,3,1311,4730,2006,,No,Yes,2025,438000
121,Montréal,Pointe-aux-Trembles,Duplex,5,2,1495,4653,1912,,Yes,Yes,2023,595000
122,Saint-Jean-sur-Richelieu,Iberville,Single Family,3,3,1393,5171,1958,2011,Yes,No,2025,420000
123,Lévis,Saint-Nicolas,Single Family,4,2,1592,9376,2016,,Yes,Yes,2022,263000
124,Mirabel,Sainte-Monique,Single Family,4,2,2046,6970,2015,2024,Yes,No,2024,520000
125,Québec,Sainte-Foy,Single Family,4,2,1567,9299,2018,2023,Yes,Yes,2025,499000
126,Laval,Chomedey,Single Family,4,2,1362,8072,2003,,Yes,Yes,2021,396000
127,Laval,Duvernay,Single Family,4,2,1595,10248,1983,,Yes,No,2025,758000
128,Brossard,Secteur A,Single Family,4,2,1806,7246,1976,2010,Yes,Yes,2021,613000
129,Montréal,Ville-Marie,Single Family,2,4,1293,7271,1986,,Yes,Yes,2021,405000
130,Brossard,Solar Uniquartier,Condo,2,2,679,,2000,,Yes,No,2025,438000
131,Saguenay,Jonquière,Single Family,6,3,1447,4424,2008,,Yes,Yes,2024,365000
132,Dollard-des-Ormeaux,West Island,Single Family,5,3,1815,6082,2011,,No,Yes,2021,533000
133,Longueuil,Greenfield Park,Single Family,5,2,1172,4574,1994,,Yes,Yes,2024,596000
134,Laval,Fabreville,Single Family,3,4,1615,4283,1986,,Yes,No,2024,707000
135,Saguenay,Jonquière,Single Family,4,2,2060,7267,2015,,Yes,No,2025,416000
136,Repentigny,Repentigny Centre,Townhouse,3,1,946,3350,1989,2020,Yes,Yes,2025,395000
137,Rouyn-Noranda,Rouyn Centre,Duplex,4,3,1370,5791,1997,,No,Yes,2025,452000
138,Mirabel,Sainte-Monique,Condo,3,2,707,,1996,,Yes,No,2024,345000
139,Boucherville,Boucherville Centre,Bungalow,3,1,951,3635,1983,2023,Yes,Yes,2025,654000
140,Trois-Rivières,Trois-Rivières-Ouest,Condo,2,1,786,,2007,,No,No,2024,262000
141,Québec,Sainte-Foy,Condo,2,2,879,,1943,2009,Yes,No,2022,274000
142,Pointe-Claire,West Island,Condo,1,1,854,,1961,,Yes,No,2025,498000
143,Repentigny,Le Gardeur,Condo,1,2,889,,2001,,No,No,2023,453000
144,Trois-Rivières,Trois-Rivières-Ouest,Single Family,3,3,1434,6916,1998,2010,Yes,Yes,2023,341000
145,Terrebonne,Terrebonne Ouest,Condo,2,1,592,,1986,,Yes,No,2021,352000
146,Gatineau,Aylmer,Townhouse,3,1,1210,3095,1967,,Yes,Yes,2022,349000
147,Montréal,Plateau-Mont-Royal,Condo,3,2,803,,1901,2020,Yes,No,2024,438000
148,Repentigny,Repentigny Centre,Condo,2,1,801,,1968,2014,No,No,2025,493000
149,Mirabel,Saint-Canut,Single Family,4,3,1596,6216,2020,2025,Yes,Yes,2025,513000
150,Saguenay,Jonquière,Condo,2,1,860,,1975,,No,No,2022,236000
151,Laval,Duvernay,Single Family,3,2,1394,4145,2015,,Yes,Yes,2024,567000
152,Sherbrooke,Lennoxville,Single Family,5,4,1518,7016,1963,,Yes,Yes,2023,421000
153,Québec,Sainte-Foy,Townhouse,3,2,1008,3296,1917,2022,Yes,Yes,2022,264000
154,Québec,Limoilou,Condo,2,1,730,,1918,,Yes,No,2023,291000
155,Saint-Jean-sur-Richelieu,Centre-Ville,Single Family,3,2,1628,9664,2018,,Yes,Yes,2024,470000
156,Rimouski,Rimouski Centre,Condo,3,2,681,,2014,,Yes,No,2025,202000
157,Longueuil,Saint-Hubert,Single Family,6,1,1431,6673,1956,,Yes,Yes,2021,445000
158,Terrebonne,La Plaine,Single Family,3,4,1559,11042,1962,2014,Yes,Yes,2023,721000
159,Laval,Duvernay,Single Family,6,2,1609,8683,1985,2024,Yes,Yes,2025,850000
160,Montréal,Villeray,Condo,1,2,796,,1984,2009,Yes,No,2024,360000
161,Laval,Pont-Viau,Single Family,6,1,1467,5017,1988,2019,Yes,No,2023,514000
162,Gatineau,Gatineau Centre,Condo,2,2,563,,2009,,Yes,No,2025,384000
163,Sherbrooke,Centre-Ville,Single Family,3,2,1470,4986,1976,,Yes,No,2021,366000
164,Montréal,Plateau-Mont-Royal,Single Family,3,4,1722,5706,1994,,Yes,No,2025,707000
165,Vaudreuil-Dorion,Centre-Ville,Single Family,5,1,1257,7131,2000,,No,Yes,2022,388000
166,Blainville,Blainville Centre,Single Family,5,2,1883,10710,1992,,Yes,Yes,2025,653000
167,Vaudreuil-Dorion,Centre-Ville,Duplex,4,3,1420,5753,1969,,Yes,Yes,2025,576000
168,Granby,Centre-Ville,Triplex,6,4,2421,3723,1978,,Yes,No,2025,871000
169,Longueuil,Vieux-Longueuil,Duplex,5,3,2100,4855,1958,,Yes,Yes,2024,675000
170,Alma,Alma Centre,Single Family,4,2,1971,9691,2014,,Yes,Yes,2024,369000
171,Saint-Jérôme,Bellefeuille,Condo,2,2,838,,2012,,Yes,No,2021,274000
172,Saint-Jean-sur-Richelieu,Centre-Ville,Single Family,5,3,1799,7744,2013,,Yes,Yes,2023,408000
173,Saint-Jean-sur-Richelieu,Iberville,Single Family,4,3,1395,10176,1999,2013,Yes,Yes,2024,370000
174,Montréal,Saint-Léonard,Condo,2,2,782,,1994,,No,No,2022,323000
175,Montréal,Mercier,Single Family,6,2,1817,6423,1971,,Yes,Yes,2024,734000
176,Terrebonne,Terrebonne Ouest,Single Family,4,3,1855,5386,1993,2012,No,Yes,2024,851000
177,Québec,Val-Bélair,Duplex,4,2,1797,3480,1933,,Yes,No,2024,448000
178,Sherbrooke,Centre-Ville,Single Family,5,2,1397,4377,2020,,Yes,Yes,2025,457000
179,Québec,Charlesbourg,Condo,2,1,975,,2014,,Yes,No,2023,371000
180,Montréal,Mercier,Single Family,3,3,1564,4716,1957,2016,No,Yes,2024,662000
181,Gatineau,Aylmer,Single Family,5,2,1165,7221,1999,,Yes,Yes,2021,387000
182,Lévis,Charny,Bungalow,3,1,981,4832,1989,,Yes,Yes,2025,394000
183,Trois-Rivières,Trois-Rivières-Ouest,Single Family,5,3,1705,5800,1996,,No,Yes,2025,477000
184,Boucherville,Boucherville Centre,Single Family,5,2,1448,11593,1957,2017,Yes,Yes,2024,587000
185,Gatineau,Hull,Single Family,6,3,1208,3201,1984,,No,No,2024,450000
186,Montréal,Plateau-Mont-Royal,Single Family,6,2,1799,5176,1953,,Yes,Yes,2024,628000
187,Montréal,Pointe-aux-Trembles,Single Family,5,2,1745,7113,1960,,No,Yes,2023,588000
188,Montréal,Plateau-Mont-Royal,Single Family,2,2,2122,8816,1957,2005,Yes,No,2025,762000
189,Laval,Chomedey,Triplex,6,6,2525,4198,1990,,Yes,Yes,2022,936000
190,Laval,Vimont,Condo,2,1,593,,1956,,Yes,No,2024,319000
191,Montréal,LaSalle,Condo,2,2,650,,1969,,No,No,2021,259000
192,Dollard-des-Ormeaux,West Island,Single Family,4,4,1991,9208,2008,,Yes,Yes,2025,973000
193,Montréal,Plateau-Mont-Royal,Condo,2,1,968,,1910,,Yes,No,2024,362000
194,Pointe-Claire,West Island,Condo,2,2,813,,1997,2023,Yes,No,2024,392000
195,Montréal,Lachine,Townhouse,3,2,987,2543,1948,,No,No,2022,287000
196,Québec,Limoilou,Single Family,6,3,1069,7956,1913,,Yes,Yes,2023,311000
197,Montréal,Pointe-aux-Trembles,Single Family,4,3,1998,7025,1955,2023,No,Yes,2024,619000
198,Longueuil,Vieux-Longueuil,Single Family,2,2,1336,12225,1996,,Yes,Yes,2023,653000
199,Gatineau,Hull,Single Family,5,3,1404,10806,1955,,Yes,Yes,2024,583000
200,Saint-Bruno-de-Montarville,Centre-Ville,Duplex,4,3,1907,3380,1961,,Yes,Yes,2021,440000
201,Sherbrooke,Rock Forest,Bungalow,2,1,914,4041,1994,,No,No,2023,343000
202,Granby,Centre-Ville,Condo,2,2,503,,1989,,No,No,2021,170000
203,Châteauguay,Centre-Ville,Duplex,5,2,1242,6763,1955,2024,Yes,Yes,2024,308000
204,Laval,Fabreville,Condo,2,2,535,,1957,,No,No,2023,338000
205,Dollard-des-Ormeaux,West Island,Single Family,3,2,1882,6645,1957,,No,No,2025,623000
206,Montréal,Plateau-Mont-Royal,Single Family,4,2,1489,3916,1921,,No,Yes,2025,647000
207,Lévis,Lévis Centre,Duplex,5,3,1504,4151,2004,2015,Yes,Yes,2021,293000
208,Alma,Alma Centre,Single Family,4,3,1955,6914,1994,,Yes,No,2024,325000
209,Drummondville,Saint-Charles,Single Family,2,2,1467,5408,1963,,Yes,Yes,2025,371000
210,Montréal,Outremont,Townhouse,3,2,1059,2457,1964,,Yes,Yes,2025,426000
211,Longueuil,Le Vieux-Longueuil,Condo,3,2,846,,1960,,Yes,No,2021,380000
212,Longueuil,Greenfield Park,Condo,2,2,833,,1989,,Yes,No,2021,397000
213,Montréal,Mercier,Condo,2,2,763,,2000,,Yes,No,2023,364000
214,Saint-Jean-sur-Richelieu,Centre-Ville,Condo,1,2,810,,1979,,No,No,2025,343000
215,Lévis,Lévis Centre,Single Family,4,3,1832,5744,1973,,Yes,Yes,2021,409000
216,Longueuil,Greenfield Park,Single Family,4,3,1223,4865,1987,,Yes,Yes,2025,680000
217,Drummondville,Saint-Charles,Condo,2,1,878,,1980,,Yes,No,2024,279000
218,Lévis,Saint-Nicolas,Single Family,4,1,2161,11027,1973,2016,Yes,Yes,2021,401000
219,Montréal,Villeray,Condo,1,1,692,,1990,2015,Yes,No,2025,421000
220,Québec,Lebourgneuf,Single Family,4,2,1571,9106,1988,,No,Yes,2023,333000
221,Trois-Rivières,Cap-de-la-Madeleine,Single Family,3,4,1301,5939,1989,,Yes,Yes,2022,297000
222,Laval,Chomedey,Triplex,7,4,2630,4599,2018,,Yes,Yes,2024,1087000
223,Dollard-des-Ormeaux,West Island,Single Family,3,2,1209,11539,1969,2019,Yes,Yes,2024,688000
224,Saint-Jean-sur-Richelieu,Centre-Ville,Townhouse,3,2,1063,2459,2006,2024,Yes,Yes,2024,263000
225,Châteauguay,Centre-Ville,Single Family,3,3,1645,6354,2013,2018,Yes,Yes,2022,382000
226,Montréal,Lachine,Triplex,5,6,2768,6463,1958,,Yes,Yes,2022,865000
227,Granby,Centre-Ville,Single Family,2,2,863,9067,2014,,Yes,Yes,2021,298000
228,Saint-Jean-sur-Richelieu,Iberville,Condo,2,2,580,,1979,,Yes,No,2022,214000
229,Sherbrooke,Lennoxville,Condo,2,2,820,,1980,,No,No,2023,279000
230,Lévis,Charny,Single Family,3,2,1505,7033,1998,,Yes,Yes,2023,396000
231,Longueuil,Greenfield Park,Single Family,3,3,1563,8478,2009,,Yes,Yes,2021,564000
232,Québec,Lebourgneuf,Single Family,4,2,1943,12185,2023,,Yes,Yes,2025,503000
233,Victoriaville,Centre-Ville,Single Family,2,3,1522,3796,2011,,Yes,Yes,2022,364000
234,Trois-Rivières,Centre-Ville,Condo,3,1,870,,2016,,No,No,2021,279000
235,Montréal,LaSalle,Townhouse,3,2,963,2555,1954,,No,No,2022,304000
236,Montréal,Hochelaga-Maisonneuve,Duplex,3,4,1856,3998,2007,,No,Yes,2023,653000
237,Granby,Centre-Ville,Condo,2,2,853,,2014,,No,No,2024,390000
238,Laval,Duvernay,Townhouse,4,3,824,3701,2017,,No,Yes,2021,315000
239,Dollard-des-Ormeaux,West Island,Single Family,4,3,1161,13239,1958,2016,Yes,No,2022,486000
240,Saguenay,Chicoutimi,Single Family,6,3,1778,10894,1975,,No,Yes,2021,305000
241,Brossard,Solar Uniquartier,Triplex,4,5,2101,3920,1981,2012,No,Yes,2023,807000
242,Laval,Fabreville,Triplex,6,6,2358,3589,1979,,Yes,Yes,2025,1023000
243,Saint-Jérôme,Bellefeuille,Single Family,4,2,1392,4762,1992,,Yes,Yes,2025,407000
244,Granby,Centre-Ville,Condo,2,1,564,,2019,2024,Yes,No,2025,308000
245,Montréal,Hochelaga-Maisonneuve,Condo,2,2,817,,2015,,Yes,No,2025,520000
246,Brossard,Secteur C,Single Family,4,3,997,7494,2006,,Yes,Yes,2022,384000
247,Montréal,LaSalle,Single Family,4,1,1585,5609,1962,,No,Yes,2024,520000
248,Granby,Centre-Ville,Condo,1,1,843,,2022,,No,No,2023,346000
249,Sherbrooke,Rock Forest,Triplex,6,5,1987,4335,2020,,Yes,Yes,2023,573000
250,Brossard,Solar Uniquartier,Triplex,4,4,2010,5034,1967,2009,No,No,2025,869000
251,Brossard,Solar Uniquartier,Single Family,3,3,1759,12435,1964,2019,Yes,No,2024,841000
252,Saint-Bruno-de-Montarville,Centre-Ville,Single Family,3,3,1642,9235,1970,,No,No,2024,601000
253,Laval,Pont-Viau,Single Family,4,4,1511,7961,1955,2021,No,No,2022,559000
254,Laval,Pont-Viau,Single Family,6,1,1220,4062,2021,,Yes,Yes,2025,633000
255,Longueuil,Greenfield Park,Triplex,6,4,2228,5841,1975,,No,Yes,2024,897000
256,Saint-Jérôme,Bellefeuille,Single Family,4,4,1105,8249,1958,,Yes,Yes,2024,315000
257,Montréal,Outremont,Condo,1,2,587,,2021,,Yes,No,2025,340000
258,Québec,Sainte-Foy,Single Family,3,2,1709,7974,2016,,No,Yes,2025,573000
259,Dollard-des-Ormeaux,West Island,Triplex,7,4,2874,5285,1979,,Yes,Yes,2022,884000
260,Longueuil,Greenfield Park,Bungalow,3,2,1144,5067,2012,,No,Yes,2022,551000
261,Montréal,Villeray,Condo,3,2,919,,1929,2005,No,No,2025,537000
262,Québec,Sainte-Foy,Townhouse,3,2,1066,3114,2009,,Yes,Yes,2024,350000
263,Montréal,Ahuntsic,Condo,2,2,737,,1987,,Yes,No,2025,438000
264,Montréal,Saint-Léonard,Single Family,4,3,1508,9208,1969,2023,Yes,Yes,2023,610000
265,Montréal,Hochelaga-Maisonneuve,Single Family,3,1,1670,7592,1978,2021,No,Yes,2025,737000
266,Montréal,Saint-Léonard,Single Family,5,3,1201,6040,2012,2022,No,Yes,2023,516000
267,Gatineau,Aylmer,Duplex,6,3,1819,4402,2018,,Yes,Yes,2025,764000
268,Laval,Duvernay,Duplex,4,3,1872,5016,1973,2007,No,Yes,2025,884000
269,Longueuil,Saint-Hubert,Condo,2,1,903,,2008,2016,Yes,No,2024,512000
270,Sherbrooke,Rock Forest,Townhouse,3,2,1102,1784,1975,,Yes,Yes,2023,274000
271,Châteauguay,Centre-Ville,Single Family,2,2,1499,7990,1996,2008,Yes,Yes,2024,407000
272,Montréal,Ahuntsic,Duplex,4,3,1969,2910,1999,2018,Yes,Yes,2022,620000
273,Repentigny,Le Gardeur,Condo,2,2,677,,2003,,No,No,2021,396000
274,Trois-Rivières,Cap-de-la-Madeleine,Townhouse,2,2,1004,3005,1965,,Yes,No,2025,253000
275,Brossard,Secteur C,Condo,2,2,639,,1956,,Yes,No,2024,356000
276,Québec,Charlesbourg,Single Family,4,3,1510,9440,1954,,No,Yes,2021,255000
277,Montréal,Verdun,Townhouse,3,2,1095,3222,1955,,Yes,Yes,2024,463000
278,Québec,Lebourgneuf,Condo,1,1,789,,2021,,No,No,2022,268000
279,Lévis,Lévis Centre,Condo,2,2,706,,1971,2020,No,No,2025,342000
280,Sherbrooke,Lennoxville,Single Family,4,2,1959,6876,2006,,Yes,Yes,2023,581000
281,Québec,Charlesbourg,Condo,2,1,607,,2003,,Yes,No,2021,190000
282,Brossard,Secteur A,Duplex,4,3,1763,2838,1957,,Yes,Yes,2024,568000
283,Montréal,Villeray,Condo,3,1,760,,1928,2006,No,No,2025,403000
284,Mirabel,Saint-Canut,Single Family,4,3,1682,5427,1977,,No,Yes,2024,480000
285,Québec,Sillery,Duplex,4,3,2034,4069,1970,2022,No,Yes,2025,580000
286,Laval,Vimont,Single Family,5,3,1816,3743,1998,2009,Yes,No,2021,615000
287,Laval,Duvernay,Single Family,3,3,1807,4602,2003,,Yes,Yes,2023,623000
288,Boucherville,Boucherville Centre,Condo,2,2,720,,1969,,Yes,No,2025,442000
289,Québec,Charlesbourg,Townhouse,3,2,1072,2751,2005,,No,No,2023,247000
290,Trois-Rivières,Trois-Rivières-Ouest,Single Family,3,3,1198,6822,1967,2013,Yes,Yes,2022,276000
291,Montréal,Outremont,Condo,2,1,639,,1953,2012,Yes,No,2023,271000
292,Montréal,Pointe-aux-Trembles,Condo,1,1,504,,2001,,Yes,No,2023,336000
